,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
273,Schwaz,12,AT,1586970982,27,47.34,11.73,64.4,8.05
274,Sitka,90,US,1586970983,93,57.05,-135.33,42.8,3.36
275,Zhigansk,56,RU,1586970983,93,66.77,123.37,2.64,12.97
276,Zvishavane,26,ZW,1586970983,38,-20.33,30.07,71.85,2.26
277,Mergen,0,CN,1586970983,55,49.18,125.22,41.45,2.77
278,Marabu,75,MY,1586970984,94,4.41,114.01,77.0,5.03
279,Musoma,20,TZ,1586970984,69,-1.5,33.8,82.4,9.17
280,Dickinson,1,US,1586970984,39,29.46,-95.05,64.99,9.17
281,Huarmey,9,PE,1586970985,56,-10.07,-78.15,81.37,10.71
282,Hunterville,52,NZ,1586970985,71,-39.93,175.57,57.0,23.0
283,Talara,72,PE,1586970985,100,-4.58,-81.27,62.6,9.17
284,São José da Coroa Grande,67,BR,1586970986,68,-8.9,-35.15,84.97,10.25
285,Kahului,40,US,1586970986,88,20.89,-156.47,75.2,8.05
286,Kipini,100,KE,1586970986,82,-2.53,40.53,83.28,14.81
287,Amapá,95,BR,1586970986,54,1.0,-52.0,86.99,3.06
288,Saldanha,100,ZA,1586970986,63,-33.01,17.94,66.2,8.05
289,Churapcha,51,RU,1586970987,93,62.0,132.43,14.85,9.13
290,Kutum,0,SD,1586970987,12,14.2,24.67,71.46,10.76
291,Grants,1,US,1586970987,18,35.15,-107.85,48.2,5.82
292,Yar-Sale,29,RU,1586970987,93,66.83,70.83,15.44,9.91
293,Oktyabr'skiy,98,RU,1586970987,62,54.48,53.47,50.94,13.94
294,Paraíso,75,CR,1586970912,61,9.84,-83.87,82.4,12.75
295,Kukushtan,93,RU,1586970988,75,57.65,56.5,46.4,11.18
296,Micheweni,100,TZ,1586970988,80,-4.97,39.83,83.88,16.08
297,Muroto-misakicho,98,JP,1586970988,59,33.28,134.15,58.44,6.38
298,Avera,40,US,1586970989,52,33.19,-82.53,66.99,5.82
299,Novoomskiy,40,RU,1586970989,80,54.84,73.3,35.6,8.95
300,Long Beach,1,US,1586970801,32,33.77,-118.19,75.99,1.23
301,Sinnamary,33,GF,1586970989,67,5.38,-52.95,81.79,8.52
302,Oodweyne,66,SO,1586970989,38,9.41,45.06,81.45,11.12
